,location,value,region,pct
0,Afghanistan,1459505,as,1.086914898660483
1,Azerbaijan,120485,as,0.0897269564442111
2,Bahrain,16644,as,0.012395032270053945
3,Bangladesh,2987615,as,2.2249209526254035
4,Armenia,31640,as,0.02356277463497397
5,Bhutan,9634,as,0.007174581884745236
6,Brunei Darussalam,5962,as,0.004439989329131315
7,Myanmar,910042,as,0.6777216989368199
8,Cambodia,313156,as,0.23321189170638143
9,Sri Lanka,297987,as,0.2219153136900123
10,China,10660034,as,7.938684536762329
11,"China, Taiwan Province of China",186643,as,0.13899579475965382
12,Cyprus,12348,as,0.00919573771152524
13,Georgia,47758,as,0.0355660869474427
14,State of Palestine,146578,as,0.10915879837058201
15,"China, Hong Kong SAR",41409,as,0.030837893010734422
16,India,23056737,as,17.17069209067212
17,Indonesia,4434122,as,3.302156048987991
18,Iran (Islamic Republic of),1144658,as,0.8524436943147924
19,Iraq,1216097,as,0.9056453712158009
20,Israel,174648,as,0.13006294135426466
21,Japan,813751,as,0.6060123711120324
22,Kazakhstan,395288,as,0.2943768034105433
23,Jordan,243221,as,0.1811302657867574
24,Dem. People's Rep. of Korea,338531,as,0.252109028443501
25,Republic of Korea,287848,as,0.21436465085739528
26,Kuwait,39901,as,0.029714863170357028
27,Kyrgyzstan,152434,as,0.11351984793639767
28,Lao People's Dem. Republic,160515,as,0.11953788781709376
29,Lebanon,76066,as,0.056647472041211434
30,"China, Macao SAR",7002,as,0.005214492667322621
31,Malaysia,507266,as,0.3777684714912992
32,Maldives,6875,as,0.00511991389429349
33,Mongolia,67343,as,0.050151325292131864
34,Oman,79479,as,0.0591891834770258
35,Nepal,613318,as,0.45674695997386117
36,Pakistan,6474370,as,4.821558824697738
37,Philippines,2500423,as,1.862101884990693
38,Timor-Leste,33096,as,0.024647079308441802
39,Qatar,23932,as,0.017822513355379172
40,Saudi Arabia,606692,as,0.45181248005188457
41,Singapore,42560,as,0.031695059685982685
42,Viet Nam,1418890,as,1.0566683091598679
43,Syrian Arab Republic,490781,as,0.3654918488662187
44,Tajikistan,256589,as,0.19108561254150871
45,Thailand,623992,as,0.46469604519679764
46,United Arab Emirates,91828,as,0.0683856659032993
47,Türkiye,1214053,as,0.9041231742703557
48,Turkmenistan,130653,as,0.09729921600452762
49,Uzbekistan,755105,as,0.5623378299855253
50,Yemen,1011668,as,0.7534040799435793
51,Algeria,895418,af,0.6668309904582529
52,Angola,1381742,af,1.0290036456914728
53,Botswana,60190,af,0.044824380697821846
54,Burundi,443059,af,0.3299525716497134
55,Cameroon,967736,af,0.7206872716229826
56,Cabo Verde,9807,af,0.007303417536194365
57,Central African Republic,243462,af,0.18130974204108827
58,Chad,779346,af,0.5803904601981171
59,Comoros,24191,af,0.01801539447517874
60,Mayotte,10790,af,0.008035472133734801
61,Congo,182217,af,0.1356996872838512
62,Dem. Rep. of the Congo,4237354,af,3.1556200174021964
63,Benin,487458,af,0.36301716175774784
64,Equatorial Guinea,50317,af,0.037471811988242267
65,Ethiopia,3964806,af,2.9526495021931924
66,Eritrea,106263,af,0.07913562329444497
67,Djibouti,24643,af,0.018352005541392654
68,Gabon,63760,af,0.04748301234911316
69,Gambia,89518,af,0.06666537483481669
70,Ghana,909913,af,0.6776256307342943
71,Guinea,473390,af,0.3525405146792139
72,Côte d'Ivoire,959962,af,0.7148978591700026
73,Kenya,1503360,af,1.1195743639454636
74,Lesotho,59355,af,0.04420254388302402
75,Liberia,166979,af,0.12435172394985204
76,Libya,116411,af,0.0866929885597963
77,Madagascar,918152,af,0.6837613355452156
78,Malawi,678962,af,0.5056330149086977
79,Mali,952503,af,0.7093430318627247
80,Mauritania,158742,af,0.11821750856842723
81,Mauritius,13182,af,0.009816829811574806
82,Morocco,637479,af,0.474740013006592
83,Mozambique,1207858,af,0.8995096664048796
84,Namibia,69215,af,0.05154543130087621
85,Niger,1216927,af,0.9062634844568574
86,Nigeria,8109136,af,6.03899317485317
87,Guinea-Bissau,64777,af,0.048240387248094464
88,Réunion,13906,af,0.010356003289315678
89,Rwanda,409837,af,0.30521165828299074
90,Saint Helena,39,af,2.904387518217398e-05
91,Sao Tome and Principe,6447,af,0.004801175982037838
92,Senegal,562482,af,0.41888864103127144
93,Seychelles,1586,af,0.001181117590741742
94,Sierra Leone,266774,af,0.1986705322525457
95,Somalia,774627,af,0.5768761513010741
96,South Africa,1140735,af,0.8495221783573651
97,Zimbabwe,493840,af,0.3677699312811487
98,South Sudan,321400,af,0.23935132009104404
99,Sudan,1566537,af,1.1666232075963405
100,Western Sahara,9322,af,0.006942230883287844
101,Eswatini,28356,af,0.02111713140168527
102,Togo,281959,af,0.20997902570488702
103,Tunisia,188292,af,0.14022382937953598
104,Uganda,1729033,af,1.287636375329739
105,Egypt,2449346,af,1.8240640897937723
106,United Republic of Tanzania,2384603,af,1.7758490228471189
107,Burkina Faso,801037,af,0.5965440678026436
108,Zambia,694807,af,0.5174330200948912
109,Albania,28538,eu,0.021252669485868746
110,Andorra,569,eu,0.00042374269176043584
111,Austria,84132,eu,0.06265434120068364
112,Belgium,116823,eu,0.08699981103607977
113,Bosnia and Herzegovina,26279,eu,0.01957035886954744
114,Bulgaria,55495,eu,0.04132794495473706
115,Belarus,86154,eu,0.0641601544216671
116,Croatia,33537,eu,0.024975498512424844
117,Czechia,99736,eu,0.07427487013254627
118,Denmark,65003,eu,0.048408692781201426
119,Estonia,13102,eu,0.009757252631713937
120,Faroe Islands,787,eu,0.0005860905068813057
121,Finland,47143,eu,0.03510808737726226
122,France,671363,eu,0.49997392753666337
123,Germany,755129,eu,0.5623557031394835
124,Gibraltar,340,eu,0.00025320301440869626
125,Greece,76080,eu,0.05665789804768709
126,Hungary,104762,eu,0.0780178064573054
127,Iceland,4553,eu,0.0033906862488317473
128,Ireland,56728,eu,0.042246178239342715
129,Italy,406243,eu,0.3025351534777411
130,Kosovo (under UNSC res. 1244),18549,eu,0.013813713865490905
131,Latvia,15996,eu,0.011912457113180898
132,Liechtenstein,360,eu,0.0002680973093739137
133,Lithuania,25605,eu,0.01906842112921961
134,Luxembourg,6724,eu,0.0050074619673060984
135,Malta,4863,eu,0.0036215478207926176
136,Monaco,323,eu,0.00024054286368826146
137,Republic of Moldova,49667,eu,0.0369877474018727
138,Montenegro,6773,eu,0.005043952989970882
139,Netherlands,182435,eu,0.13586203509897207
140,Norway,54464,eu,0.0405601440492801
141,Poland,423741,eu,0.3155661721428099
142,Portugal,79465,eu,0.059178757470550146
143,Romania,214232,eu,0.159541729949423
144,Russian Federation,1375609,eu,1.024436310140389
145,San Marino,199,eu,0.0001481982349039134
146,Serbia,65195,eu,0.048551678012867514
147,Slovakia,62451,eu,0.046508180743639674
148,Slovenia,18520,eu,0.013792117137791337
149,Spain,351908,eu,0.2620710776309867
150,Sweden,113685,eu,0.08466289615603716
151,Switzerland,86100,eu,0.06411993982526103
152,Ukraine,184455,eu,0.13736635889045903
153,North Macedonia,19769,eu,0.014722265858369167
154,United Kingdom,677708,eu,0.5046991426143785
155,Guernsey,626,eu,0.00046619143241130546
156,Jersey,1167,eu,0.0008690821112204368
157,Isle of Man,720,eu,0.0005361946187478274
158,Antigua and Barbuda,1116,la,0.0008311016590591325
159,Argentina,624859,la,0.4653417128835398
160,Bahamas,4671,la,0.0034785625891265303
161,Barbados,3011,la,0.0022423361070134837
162,Bolivia (Plurinational State of),263936,la,0.19655703179698136
163,Brazil,2699785,la,2.0105697066334765
164,Belize,7236,la,0.005388755918415666
165,British Virgin Islands,240,la,0.00017873153958260915
166,Cayman Islands,654,la,0.0004870434453626099
167,Chile,226274,la,0.1685095849479804
168,Colombia,714422,la,0.5320405998820282
169,Costa Rica,60145,la,0.044790868534150104
170,Cuba,98937,la,0.07367984304868583
171,Dominica,964,la,0.00071790501732348
172,Dominican Republic,200635,la,0.14941584351731993
173,Ecuador,298524,la,0.22231522550982835
174,El Salvador,99670,la,0.07422571895916105
175,Falkland Islands (Malvinas),41,la,3.0533304678695726e-05
176,French Guiana,7656,la,0.005701536112685231
177,Grenada,1923,la,0.0014320864609056556
178,Guadeloupe,4589,la,0.0034174959797691386
179,Guatemala,373431,la,0.2780995731578055
180,Guyana,15943,la,0.011872987231523071
181,Haiti,267648,la,0.1993214129425257
182,Honduras,217165,la,0.16172597830607213
183,Jamaica,32246,la,0.02401407177242006
184,Martinique,3525,la,0.0026251194876195714
185,Mexico,1857407,la,1.3832383864229802
186,Montserrat,40,la,2.9788589930434855e-05
187,Curaçao,2195,la,0.0016346488724326127
188,Aruba,765,la,0.0005697067824195665
189,Sint Maarten (Dutch part),393,la,0.0002926728960665224
190,"Bonaire, Sint Eustatius and Saba",283,la,0.0002107542737578266
191,Nicaragua,138073,la,0.1028249994366233
192,Panama,76640,la,0.05707493830671318
193,Paraguay,137368,la,0.10229997553909938
194,Peru,588886,la,0.4385520892443515
195,Puerto Rico,26093,la,0.019431841926370916
196,Saint Barthélemy,91,la,6.77690420917393e-05
197,Saint Kitts and Nevis,555,la,0.0004133166852847836
198,Anguilla,145,la,0.00010798363849782635
199,Saint Lucia,2009,la,0.0014961319292560906
200,Saint Martin (French part),440,la,0.0003276744892347834
201,Saint Vincent and the Grenadines,1307,la,0.0009733421759769588
202,Suriname,11086,la,0.00825590769922002
203,Trinidad and Tobago,17014,la,0.012670576726910465
204,Turks and Caicos Islands,553,la,0.0004118272557882619
205,United States Virgin Islands,1085,la,0.0008080155018630454
206,Uruguay,35643,la,0.02654386777226224
207,Venezuela (Bolivarian Republic of),454898,la,0.3387692495543739
208,Bermuda,469,na,0.0003492712169343487
209,Canada,379615,na,0.2827048891610507
210,Greenland,781,na,0.0005816222183917405
211,Saint Pierre and Miquelon,43,na,3.2022734175217466e-05
212,United States of America,3745361,na,2.7892255742610854
213,American Samoa,740,oc,0.0005510889137130448
214,Australia,301714,oc,0.22469086555678056
215,Solomon Islands,21398,oc,0.015935406183286125
216,Cook Islands,272,oc,0.000202562411526957
217,Fiji,17676,oc,0.013163577890259162
218,French Polynesia,3817,oc,0.002842576194111746
219,Kiribati,3495,oc,0.0026027780451717453
220,Guam,2823,oc,0.00210232973434044
221,Nauru,333,oc,0.0002479900111708702
222,New Caledonia,4079,oc,0.0030376914581560946
223,Vanuatu,9531,oc,0.007097876265674365
224,New Zealand,64118,oc,0.047749620228990555
225,Niue,27,oc,2.0107298203043526e-05
226,Northern Mariana Islands,610,oc,0.0004542759964391316
227,Micronesia (Fed. States of),2392,oc,0.0017813576778400043
228,Marshall Islands,762,oc,0.000567472638174784
229,Palau,266,oc,0.00019809412303739178
230,Papua New Guinea,253843,oc,0.18904062584278436
231,Tokelau,35,oc,2.6065016189130496e-05
232,Tonga,2449,oc,0.0018238064184908742
233,Tuvalu,261,oc,0.00019437054929608743
234,Wallis and Futuna Islands,132,oc,9.830234677043503e-05
235,Samoa,6023,oc,0.0044854169287752285
