,locationId,location,iso3,iso2,locationTypeId,indicatorId,indicator,indicatorDisplayName,sourceId,source,revision,variantId,variant,variantShortName,variantLabel,timeId,timeLabel,timeMid,categoryId,category,estimateTypeId,estimateType,estimateMethodId,estimateMethod,sexId,sex,ageId,ageLabel,ageStart,ageEnd,ageMid,value
0,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,4,Median,Median,Median,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,1,Male,188,Total,0,-1,0,381
1,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,9,High-fertility,HIGH,High-fert.,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,1,Male,188,Total,0,-1,0,424
2,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,10,Low-fertility,LOW,Low-fert.,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,1,Male,188,Total,0,-1,0,338
3,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,11,Constant-fertility,ConstantFERTILITY,Constant-fert.,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,1,Male,188,Total,0,-1,0,385
4,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,12,Instant-replacement-fertility,InstantREPLACEMENT,Inst.-replac.-fert.,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,1,Male,188,Total,0,-1,0,357
5,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,13,Zero-migration,ZeroMIGRATION,Zero-mig.,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,1,Male,188,Total,0,-1,0,395
6,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,14,Constant-mortality,ConstantMORTALITY,Constant-mort.,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,1,Male,188,Total,0,-1,0,381
7,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,15,No change,NoCHANGE,No change,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,1,Male,188,Total,0,-1,0,385
8,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,16,Momentum,MOMENTUM,Momentum,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,1,Male,188,Total,0,-1,0,370
9,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,17,Instant-replacement-zero-migration,InstantReplacementZeroMIGRATION,Inst.-replac.-Zero-mig.,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,1,Male,188,Total,0,-1,0,370
10,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,4,Median,Median,Median,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,2,Female,188,Total,0,-1,0,359
11,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,9,High-fertility,HIGH,High-fert.,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,2,Female,188,Total,0,-1,0,400
12,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,10,Low-fertility,LOW,Low-fert.,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,2,Female,188,Total,0,-1,0,319
13,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,11,Constant-fertility,ConstantFERTILITY,Constant-fert.,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,2,Female,188,Total,0,-1,0,363
14,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,12,Instant-replacement-fertility,InstantREPLACEMENT,Inst.-replac.-fert.,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,2,Female,188,Total,0,-1,0,337
15,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,13,Zero-migration,ZeroMIGRATION,Zero-mig.,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,2,Female,188,Total,0,-1,0,373
16,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,14,Constant-mortality,ConstantMORTALITY,Constant-mort.,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,2,Female,188,Total,0,-1,0,359
17,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,15,No change,NoCHANGE,No change,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,2,Female,188,Total,0,-1,0,363
18,16,American Samoa,ASM,AS,4,57,Total births by sex,Total number of live births by sex,25,World Population Prospects,0,16,Momentum,MOMENTUM,Momentum,74,2023,2023.5,0,Not applicable,1,Model-based Estimates,3,Projection,2,Female,188,Total,0,-1,0,349
