,location,value,region
0,Algeria,895418,af
1,Angola,1381742,af
2,Botswana,60190,af
3,Burundi,443059,af
4,Cameroon,967736,af
5,Cabo Verde,9807,af
6,Central African Republic,243462,af
7,Chad,779346,af
8,Comoros,24191,af
9,Mayotte,10790,af
10,Congo,182217,af
11,Dem. Rep. of the Congo,4237354,af
12,Benin,487458,af
13,Equatorial Guinea,50317,af
14,Ethiopia,3964806,af
15,Eritrea,106263,af
16,Djibouti,24643,af
17,Gabon,63760,af
18,Gambia,89518,af
19,Ghana,909913,af
20,Guinea,473390,af
21,Côte d'Ivoire,959962,af
22,Kenya,1503360,af
23,Lesotho,59355,af
24,Liberia,166979,af
25,Libya,116411,af
26,Madagascar,918152,af
27,Malawi,678962,af
28,Mali,952503,af
29,Mauritania,158742,af
30,Mauritius,13182,af
31,Morocco,637479,af
32,Mozambique,1207858,af
33,Namibia,69215,af
34,Niger,1216927,af
35,Nigeria,8109136,af
36,Guinea-Bissau,64777,af
37,Réunion,13906,af
38,Rwanda,409837,af
39,Saint Helena,39,af
40,Sao Tome and Principe,6447,af
41,Senegal,562482,af
42,Seychelles,1586,af
43,Sierra Leone,266774,af
44,Somalia,774627,af
45,South Africa,1140735,af
46,Zimbabwe,493840,af
47,South Sudan,321400,af
48,Sudan,1566537,af
49,Western Sahara,9322,af
50,Eswatini,28356,af
51,Togo,281959,af
52,Tunisia,188292,af
53,Uganda,1729033,af
54,Egypt,2449346,af
55,United Republic of Tanzania,2384603,af
56,Burkina Faso,801037,af
57,Zambia,694807,af
