,location,value,region
0,Afghanistan,1459505,as
1,Azerbaijan,120485,as
2,Bahrain,16644,as
3,Bangladesh,2987615,as
4,Armenia,31640,as
5,Bhutan,9634,as
6,Brunei Darussalam,5962,as
7,Myanmar,910042,as
8,Cambodia,313156,as
9,Sri Lanka,297987,as
10,China,10660034,as
11,"China, Taiwan Province of China",186643,as
12,Cyprus,12348,as
13,Georgia,47758,as
14,State of Palestine,146578,as
15,"China, Hong Kong SAR",41409,as
16,India,23056737,as
17,Indonesia,4434122,as
18,Iran (Islamic Republic of),1144658,as
19,Iraq,1216097,as
20,Israel,174648,as
21,Japan,813751,as
22,Kazakhstan,395288,as
23,Jordan,243221,as
24,Dem. People's Rep. of Korea,338531,as
25,Republic of Korea,287848,as
26,Kuwait,39901,as
27,Kyrgyzstan,152434,as
28,Lao People's Dem. Republic,160515,as
29,Lebanon,76066,as
30,"China, Macao SAR",7002,as
31,Malaysia,507266,as
32,Maldives,6875,as
33,Mongolia,67343,as
34,Oman,79479,as
35,Nepal,613318,as
36,Pakistan,6474370,as
37,Philippines,2500423,as
38,Timor-Leste,33096,as
39,Qatar,23932,as
40,Saudi Arabia,606692,as
41,Singapore,42560,as
42,Viet Nam,1418890,as
43,Syrian Arab Republic,490781,as
44,Tajikistan,256589,as
45,Thailand,623992,as
46,United Arab Emirates,91828,as
47,Türkiye,1214053,as
48,Turkmenistan,130653,as
49,Uzbekistan,755105,as
50,Yemen,1011668,as
