,location,value,region
0,Albania,28538,eu
1,Andorra,569,eu
2,Austria,84132,eu
3,Belgium,116823,eu
4,Bosnia and Herzegovina,26279,eu
5,Bulgaria,55495,eu
6,Belarus,86154,eu
7,Croatia,33537,eu
8,Czechia,99736,eu
9,Denmark,65003,eu
10,Estonia,13102,eu
11,Faroe Islands,787,eu
12,Finland,47143,eu
13,France,671363,eu
14,Germany,755129,eu
15,Gibraltar,340,eu
16,Greece,76080,eu
17,Hungary,104762,eu
18,Iceland,4553,eu
19,Ireland,56728,eu
20,Italy,406243,eu
21,Kosovo (under UNSC res. 1244),18549,eu
22,Latvia,15996,eu
23,Liechtenstein,360,eu
24,Lithuania,25605,eu
25,Luxembourg,6724,eu
26,Malta,4863,eu
27,Monaco,323,eu
28,Republic of Moldova,49667,eu
29,Montenegro,6773,eu
30,Netherlands,182435,eu
31,Norway,54464,eu
32,Poland,423741,eu
33,Portugal,79465,eu
34,Romania,214232,eu
35,Russian Federation,1375609,eu
36,San Marino,199,eu
37,Serbia,65195,eu
38,Slovakia,62451,eu
39,Slovenia,18520,eu
40,Spain,351908,eu
41,Sweden,113685,eu
42,Switzerland,86100,eu
43,Ukraine,184455,eu
44,North Macedonia,19769,eu
45,United Kingdom,677708,eu
46,Guernsey,626,eu
47,Jersey,1167,eu
48,Isle of Man,720,eu
