,location,value,region
0,Antigua and Barbuda,1116,la
1,Argentina,624859,la
2,Bahamas,4671,la
3,Barbados,3011,la
4,Bolivia (Plurinational State of),263936,la
5,Brazil,2699785,la
6,Belize,7236,la
7,British Virgin Islands,240,la
8,Cayman Islands,654,la
9,Chile,226274,la
10,Colombia,714422,la
11,Costa Rica,60145,la
12,Cuba,98937,la
13,Dominica,964,la
14,Dominican Republic,200635,la
15,Ecuador,298524,la
16,El Salvador,99670,la
17,Falkland Islands (Malvinas),41,la
18,French Guiana,7656,la
19,Grenada,1923,la
20,Guadeloupe,4589,la
21,Guatemala,373431,la
22,Guyana,15943,la
23,Haiti,267648,la
24,Honduras,217165,la
25,Jamaica,32246,la
26,Martinique,3525,la
27,Mexico,1857407,la
28,Montserrat,40,la
29,Curaçao,2195,la
30,Aruba,765,la
31,Sint Maarten (Dutch part),393,la
32,"Bonaire, Sint Eustatius and Saba",283,la
33,Nicaragua,138073,la
34,Panama,76640,la
35,Paraguay,137368,la
36,Peru,588886,la
37,Puerto Rico,26093,la
38,Saint Barthélemy,91,la
39,Saint Kitts and Nevis,555,la
40,Anguilla,145,la
41,Saint Lucia,2009,la
42,Saint Martin (French part),440,la
43,Saint Vincent and the Grenadines,1307,la
44,Suriname,11086,la
45,Trinidad and Tobago,17014,la
46,Turks and Caicos Islands,553,la
47,United States Virgin Islands,1085,la
48,Uruguay,35643,la
49,Venezuela (Bolivarian Republic of),454898,la
