,location,value,region
0,American Samoa,740,oc
1,Australia,301714,oc
2,Solomon Islands,21398,oc
3,Cook Islands,272,oc
4,Fiji,17676,oc
5,French Polynesia,3817,oc
6,Kiribati,3495,oc
7,Guam,2823,oc
8,Nauru,333,oc
9,New Caledonia,4079,oc
10,Vanuatu,9531,oc
11,New Zealand,64118,oc
12,Niue,27,oc
13,Northern Mariana Islands,610,oc
14,Micronesia (Fed. States of),2392,oc
15,Marshall Islands,762,oc
16,Palau,266,oc
17,Papua New Guinea,253843,oc
18,Tokelau,35,oc
19,Tonga,2449,oc
20,Tuvalu,261,oc
21,Wallis and Futuna Islands,132,oc
22,Samoa,6023,oc
