,location,value,region
0,Afghanistan,1459505,as
1,Azerbaijan,120485,as
2,Bahrain,16644,as
3,Bangladesh,2987615,as
4,Armenia,31640,as
5,Bhutan,9634,as
6,Brunei Darussalam,5962,as
7,Myanmar,910042,as
8,Cambodia,313156,as
9,Sri Lanka,297987,as
10,China,10660034,as
11,"China, Taiwan Province of China",186643,as
12,Cyprus,12348,as
13,Georgia,47758,as
14,State of Palestine,146578,as
15,"China, Hong Kong SAR",41409,as
16,India,23056737,as
17,Indonesia,4434122,as
18,Iran (Islamic Republic of),1144658,as
19,Iraq,1216097,as
20,Israel,174648,as
21,Japan,813751,as
22,Kazakhstan,395288,as
23,Jordan,243221,as
24,Dem. People's Rep. of Korea,338531,as
25,Republic of Korea,287848,as
26,Kuwait,39901,as
27,Kyrgyzstan,152434,as
28,Lao People's Dem. Republic,160515,as
29,Lebanon,76066,as
30,"China, Macao SAR",7002,as
31,Malaysia,507266,as
32,Maldives,6875,as
33,Mongolia,67343,as
34,Oman,79479,as
35,Nepal,613318,as
36,Pakistan,6474370,as
37,Philippines,2500423,as
38,Timor-Leste,33096,as
39,Qatar,23932,as
40,Saudi Arabia,606692,as
41,Singapore,42560,as
42,Viet Nam,1418890,as
43,Syrian Arab Republic,490781,as
44,Tajikistan,256589,as
45,Thailand,623992,as
46,United Arab Emirates,91828,as
47,Türkiye,1214053,as
48,Turkmenistan,130653,as
49,Uzbekistan,755105,as
50,Yemen,1011668,as
51,Algeria,895418,af
52,Angola,1381742,af
53,Botswana,60190,af
54,Burundi,443059,af
55,Cameroon,967736,af
56,Cabo Verde,9807,af
57,Central African Republic,243462,af
58,Chad,779346,af
59,Comoros,24191,af
60,Mayotte,10790,af
61,Congo,182217,af
62,Dem. Rep. of the Congo,4237354,af
63,Benin,487458,af
64,Equatorial Guinea,50317,af
65,Ethiopia,3964806,af
66,Eritrea,106263,af
67,Djibouti,24643,af
68,Gabon,63760,af
69,Gambia,89518,af
70,Ghana,909913,af
71,Guinea,473390,af
72,Côte d'Ivoire,959962,af
73,Kenya,1503360,af
74,Lesotho,59355,af
75,Liberia,166979,af
76,Libya,116411,af
77,Madagascar,918152,af
78,Malawi,678962,af
79,Mali,952503,af
80,Mauritania,158742,af
81,Mauritius,13182,af
82,Morocco,637479,af
83,Mozambique,1207858,af
84,Namibia,69215,af
85,Niger,1216927,af
86,Nigeria,8109136,af
87,Guinea-Bissau,64777,af
88,Réunion,13906,af
89,Rwanda,409837,af
90,Saint Helena,39,af
91,Sao Tome and Principe,6447,af
92,Senegal,562482,af
93,Seychelles,1586,af
94,Sierra Leone,266774,af
95,Somalia,774627,af
96,South Africa,1140735,af
97,Zimbabwe,493840,af
98,South Sudan,321400,af
99,Sudan,1566537,af
100,Western Sahara,9322,af
101,Eswatini,28356,af
102,Togo,281959,af
103,Tunisia,188292,af
104,Uganda,1729033,af
105,Egypt,2449346,af
106,United Republic of Tanzania,2384603,af
107,Burkina Faso,801037,af
108,Zambia,694807,af
109,Albania,28538,eu
110,Andorra,569,eu
111,Austria,84132,eu
112,Belgium,116823,eu
113,Bosnia and Herzegovina,26279,eu
114,Bulgaria,55495,eu
115,Belarus,86154,eu
116,Croatia,33537,eu
117,Czechia,99736,eu
118,Denmark,65003,eu
119,Estonia,13102,eu
120,Faroe Islands,787,eu
121,Finland,47143,eu
122,France,671363,eu
123,Germany,755129,eu
124,Gibraltar,340,eu
125,Greece,76080,eu
126,Hungary,104762,eu
127,Iceland,4553,eu
128,Ireland,56728,eu
